SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,15621 3rd Ave NE,Shoreline,WA,98155,599950,4,1.75,Ridgecrest,1670,7200,1953,1,359,,Active,October-6-2018 11:00 AM,October-6-2018 01:00 PM,http://www.redfin.com/WA/Shoreline/15621-3rd-Ave-NE-98155/home/85195,NWMLS,1369899,N,Y,47.7425101,-122.3267467
MLS Listing,,Single Family Residential,708 Olympia Ave NE,Renton,WA,98056,775000,5,2.75,Highlands,2900,6240,2015,1,267,,Active,October-6-2018 11:00 AM,October-6-2018 01:00 PM,http://www.redfin.com/WA/Renton/708-Olympia-Ave-NE-98056/home/69356891,NWMLS,1369086,N,Y,47.4952663,-122.1719761
MLS Listing,,Single Family Residential,2902 19th Ave S,Seattle,WA,98144,719500,5,2.0,N Beacon Hill,2070,3840,1926,1,348,,Active,October-4-2018 12:00 PM,October-4-2018 02:00 PM,http://www.redfin.com/WA/Seattle/2902-19th-Ave-S-98144/home/168455,NWMLS,1369769,N,Y,47.577667,-122.3077252
MLS Listing,,Condo/Co-op,9710 5th Ave NE #403,Seattle,WA,98115,479999,2,2.0,Northgate,1115,,1979,1,430,526,Active,October-7-2018 11:00 AM,October-7-2018 01:00 PM,http://www.redfin.com/WA/Seattle/9710-5th-Ave-NE-98115/unit-403/home/69090,NWMLS,1369686,N,Y,47.7002373,-122.3227758
MLS Listing,,Condo/Co-op,412 10th St Unit B101,Kirkland,WA,98033,495000,2,1.75,Downtown,925,51573,1985,1,535,418,Active,October-6-2018 02:00 PM,October-6-2018 04:00 PM,http://www.redfin.com/WA/Kirkland/412-10th-St-98033/unit-B101/home/56000,NWMLS,1369630,N,Y,47.6786456,-122.1911878
MLS Listing,,Single Family Residential,1005 W Bertona St,Seattle,WA,98119,850000,2,1.5,Queen Anne,1330,5452,1950,1,639,,Active,October-6-2018 11:00 AM,October-6-2018 01:00 PM,http://www.redfin.com/WA/Seattle/1005-W-Bertona-St-98119/home/130683,NWMLS,1369520,N,Y,47.6503346,-122.3707779
MLS Listing,,Condo/Co-op,1631 16th Ave #119,Seattle,WA,98122,280000,0,1.0,Capitol Hill,402,,1929,1,697,369,Active,October-6-2018 11:00 AM,October-6-2018 01:00 PM,http://www.redfin.com/WA/Seattle/1631-16th-Ave-98122/unit-119/home/65396,NWMLS,1369985,N,Y,47.6160287,-122.3118068
MLS Listing,,Single Family Residential,5116 S Creston St,Seattle,WA,98178,410000,3,1.0,Rainier Beach,1070,7980,1960,1,383,,Active,October-6-2018 02:00 PM,October-6-2018 04:00 PM,http://www.redfin.com/WA/Seattle/5116-S-Creston-St-98178/home/178041,NWMLS,1369147,N,Y,47.5077601,-122.2693406
MLS Listing,,Single Family Residential,7742 25th Ave NW,Seattle,WA,98117,726749,3,2.0,Loyal Heights,1660,5000,1944,2,438,,Active,,,http://www.redfin.com/WA/Seattle/7742-25th-Ave-NW-98117/home/166930,NWMLS,1369543,N,Y,47.6862769,-122.3884275
MLS Listing,,Single Family Residential,16554 18th Ave NE,Shoreline,WA,98155,724950,5,1.75,North City,2200,12486,1948,2,330,,Active,October-6-2018 11:00 AM,October-6-2018 01:00 PM,http://www.redfin.com/WA/Shoreline/16554-18th-Ave-NE-98155/home/88989,NWMLS,1367586,N,Y,47.749867,-122.3079469
MLS Listing,,Single Family Residential,3610 NE 65th St,Seattle,WA,98115,699000,3,1.5,Bryant,1820,5112,1950,3,384,,Active,,,http://www.redfin.com/WA/Seattle/3610-NE-65th-St-98115/home/316407,NWMLS,1368908,N,Y,47.6759648,-122.2884178
