"fips","lat","lon","population_gt_44","cases","deaths","case_rate","death_rate"
"01001",32.5322367,-86.6464395,22728,37,2,0.0016279479056670186,8.799718409010911e-05
"01003",30.6592183,-87.7460666,98286,154,3,0.0015668559103025864,3.0523167083816616e-05
"01005",31.8702531,-85.4051035,11394,33,0,0.0028962611901000527,0
"01007",33.0158929,-87.1271475,9810,35,0,0.003567787971457696,0
"01009",33.9773575,-86.56644,25688,31,0,0.0012067891622547493,0
"01011",32.1017589,-85.7172613,4385,12,0,0.0027366020524515395,0
"01013",31.751667,-86.6819689,9063,28,0,0.0030894847180845193,0
"01015",33.7705162,-85.8279089,50273,90,3,0.001790225369482625,5.967417898275416e-05
"01017",32.9155039,-85.3940321,15900,284,18,0.017861635220125786,0.0011320754716981133
"01019",34.0695153,-85.6542417,13227,12,0,0.0009072352007257881,0
"01021",32.8540514,-86.7266071,18356,49,1,0.0026694268903900632,5.447809980387884e-05
"01023",31.9909539,-88.2488894,6664,27,0,0.004051620648259304,0
"01025",31.6855211,-87.8186244,11356,25,1,0.0022014793941528706,8.805917576611483e-05
"01027",33.2703999,-85.8635254,6437,19,1,0.0029516855678110923,0.00015535187199005747
"01029",33.6719637,-85.5161261,6915,12,1,0.0017353579175704988,0.00014461315979754158
"01031",31.402258,-85.9896022,21674,88,0,0.004060164252099289,0
"01033",34.703112,-87.8014569,25606,23,2,0.0008982269780520191,7.810669374365383e-05
"01035",31.4309257,-86.9887221,6209,9,0,0.0014495087775809308,0
"01037",32.9314453,-86.2434818,5811,29,1,0.004990535191877474,0.00017208742040956807
"01039",31.2439873,-86.4487206,18046,32,0,0.0017732461487310208,0
"01041",31.7328256,-86.3192219,6366,10,0,0.0015708451146716933,0
"01043",34.1319229,-86.8692666,36868,49,0,0.0013290658565693826,0
"01045",31.4306536,-85.609476,20440,25,0,0.001223091976516634,0
"01047",32.3335397,-87.1143556,17471,32,2,0.0018316066624692348,0.00011447541640432717
"01049",34.460929,-85.803992,30267,63,2,0.0020814748736247396,6.60785674166584e-05
"01051",32.597229,-86.1427347,33461,77,1,0.0023011864558740024,2.988553838797406e-05
"01053",31.1222867,-87.1684097,16181,22,1,0.0013596193065941536,6.180087757246153e-05
"01055",34.0476407,-86.0342629,46958,123,8,0.0026193619830486817,0.00017036500702755653
"01057",33.7161568,-87.7642923,7943,5,0,0.0006294850812035755,0
"01059",34.4419892,-87.8428144,12847,38,0,0.002957889001323266,0
"01061",31.0923822,-85.8210224,12509,7,0,0.0005595970900951316,0
"01063",32.8444965,-87.9642005,4061,44,0,0.010834769761142575,0
"01065",32.7527958,-87.6230608,6754,40,2,0.005922416345869114,0.0002961208172934557
"01067",31.5169779,-85.2399712,8372,22,1,0.0026278069756330625,0.00011944577161968466
"01069",31.1581831,-85.2964111,45133,76,3,0.0016839119934416058,6.647021026743181e-05
"01071",34.764114,-85.9800556,24749,45,2,0.001818255283041739,8.081134591296618e-05
"01073",33.5534439,-86.8965359,270000,828,33,0.0030666666666666668,0.00012222222222222221
"01075",33.7870852,-88.0874309,6859,10,0,0.0014579384749963552,0
"01077",34.9041221,-87.6509966,42270,27,2,0.00063875088715401,4.731488052992666e-05
"01079",34.529776,-87.3218651,15421,12,0,0.000778159652422022,0
"01081",32.6040644,-85.3530477,52885,358,23,0.006769405313415903,0.00043490592795688757
"01083",34.8102387,-86.9813995,39515,41,0,0.0010375806655700368,0
"01085",32.147888,-86.6505859,4707,38,1,0.008073082642872318,0.00021244954323348204
